Date,Open,High,Low,Close,Adj Close,Volume,company_name
2023-07-31,196.05999755859375,196.49000549316406,195.25999450683594,196.4499969482422,195.41221618652344,38824100,APPLE
2023-08-01,196.24000549316406,196.72999572753906,195.27999877929688,195.61000061035156,194.57664489746094,35175100,APPLE
2023-08-02,195.0399932861328,195.17999267578125,191.85000610351562,192.5800018310547,191.56265258789062,50389300,APPLE
2023-08-03,191.57000732421875,192.3699951171875,190.69000244140625,191.1699981689453,190.16012573242188,61235200,APPLE
2023-08-04,185.52000427246094,187.3800048828125,181.9199981689453,181.99000549316406,181.0286102294922,115799700,APPLE
2023-08-07,182.1300048828125,183.1300048828125,177.35000610351562,178.85000610351562,177.90518188476562,97576100,APPLE
2023-08-08,179.69000244140625,180.27000427246094,177.5800018310547,179.8000030517578,178.85015869140625,67823000,APPLE
2023-08-09,180.8699951171875,180.92999267578125,177.00999450683594,178.19000244140625,177.24867248535156,60378500,APPLE
2023-08-10,179.47999572753906,180.75,177.60000610351562,177.97000122070312,177.02984619140625,54686900,APPLE
2023-08-11,177.32000732421875,178.6199951171875,176.5500030517578,177.7899932861328,177.08961486816406,51988100,APPLE
2023-08-14,177.97000122070312,179.69000244140625,177.30999755859375,179.4600067138672,178.75303649902344,43675600,APPLE
2023-08-15,178.8800048828125,179.47999572753906,177.0500030517578,177.4499969482422,176.75094604492188,43622600,APPLE
2023-08-16,177.1300048828125,178.5399932861328,176.5,176.57000732421875,175.87442016601562,46964900,APPLE
2023-08-17,177.13999938964844,177.50999450683594,173.47999572753906,174.0,173.3145294189453,66062900,APPLE
2023-08-18,172.3000030517578,175.10000610351562,171.9600067138672,174.49000549316406,173.80262756347656,61114200,APPLE
2023-08-21,175.07000732421875,176.1300048828125,173.74000549316406,175.83999633789062,175.14727783203125,46311900,APPLE
2023-08-22,177.05999755859375,177.67999267578125,176.25,177.22999572753906,176.53179931640625,42084200,APPLE
2023-08-23,178.52000427246094,181.5500030517578,178.3300018310547,181.1199951171875,180.40647888183594,52722800,APPLE
2023-08-24,180.6699981689453,181.10000610351562,176.00999450683594,176.3800048828125,175.68516540527344,54945800,APPLE
2023-08-25,177.3800048828125,179.14999389648438,175.82000732421875,178.61000061035156,177.9063720703125,51449600,APPLE
2023-08-28,180.08999633789062,180.58999633789062,178.5500030517578,180.19000244140625,179.48016357421875,43820700,APPLE
2023-08-29,179.6999969482422,184.89999389648438,179.5,184.1199951171875,183.3946533203125,53003900,APPLE
2023-08-30,184.94000244140625,187.85000610351562,184.74000549316406,187.64999389648438,186.91075134277344,60813900,APPLE
2023-08-31,187.83999633789062,189.1199951171875,187.47999572753906,187.8699951171875,187.12989807128906,60794500,APPLE
2023-09-01,189.49000549316406,189.9199981689453,188.27999877929688,189.4600067138672,188.71365356445312,45732600,APPLE
2023-09-05,188.27999877929688,189.97999572753906,187.61000061035156,189.6999969482422,188.9526824951172,45280000,APPLE
2023-09-06,188.39999389648438,188.85000610351562,181.47000122070312,182.91000366210938,182.18943786621094,81755800,APPLE
2023-09-07,175.17999267578125,178.2100067138672,173.5399932861328,177.55999755859375,176.86050415039062,112488800,APPLE
