Datetime,Adj Close_AAPL,Adj Close_IBM,Adj Close_TSLA,Close_AAPL,Close_IBM,Close_TSLA,High_AAPL,High_IBM,High_TSLA,Low_AAPL,Low_IBM,Low_TSLA,Open_AAPL,Open_IBM,Open_TSLA,Volume_AAPL,Volume_IBM,Volume_TSLA
2024-06-17 09:30:00-04:00,212.9936065673828,168.1300048828125,180.19970703125,212.9936065673828,168.1300048828125,180.19970703125,214.44000244140625,168.75999450683594,180.3000030517578,212.9600067138672,167.82000732421875,177.0,213.3000030517578,168.75999450683594,177.9499969482422,5198111,139002.0,5019092
2024-06-17 09:35:00-04:00,213.3159942626953,167.5449981689453,180.16720581054688,213.3159942626953,167.5449981689453,180.16720581054688,213.7050018310547,168.25,180.94000244140625,212.72000122070312,167.5,179.6999969482422,212.9949951171875,168.15499877929688,180.19500732421875,1672453,41521.0,2596640
2024-06-17 09:40:00-04:00,213.7239990234375,168.02000427246094,180.4080047607422,213.7239990234375,168.02000427246094,180.4080047607422,214.0800018310547,168.0800018310547,180.73989868164065,213.25,167.5,179.4199981689453,213.3300018310547,167.53500366210938,180.17999267578125,1409081,35748.0,2257603
2024-06-17 09:45:00-04:00,213.57000732421875,168.4600067138672,180.8699951171875,213.57000732421875,168.4600067138672,180.8699951171875,214.8000030517578,168.4600067138672,181.6100006103516,213.22999572753903,168.0009002685547,180.4149932861328,213.72000122070312,168.02000427246094,180.4199981689453,2134755,30790.0,2477614
2024-06-17 09:50:00-04:00,213.46310424804688,168.3000030517578,181.06500244140625,213.46310424804688,168.3000030517578,181.06500244140625,213.58999633789065,168.6999969482422,181.4900054931641,212.9600067138672,168.3000030517578,180.44000244140625,213.55999755859372,168.52000427246094,180.8600006103516,1350967,20405.0,1419959
2024-06-17 09:55:00-04:00,213.5500030517578,168.07000732421875,180.9149932861328,213.5500030517578,168.07000732421875,180.9149932861328,213.57000732421875,168.30999755859375,181.2700042724609,213.1300048828125,167.89999389648438,180.32000732421875,213.47000122070312,168.30999755859375,181.04330444335935,779974,34190.0,1341826
2024-06-17 10:00:00-04:00,214.46800231933597,168.2100067138672,181.16000366210935,214.46800231933597,168.2100067138672,181.16000366210935,214.5800018310547,168.30999755859375,181.6699981689453,213.52999877929688,168.00999450683594,180.6199951171875,213.5399932861328,168.11000061035156,180.9199981689453,1267039,32545.0,1636782
2024-06-17 10:05:00-04:00,215.38999938964844,167.97999572753906,181.2100067138672,215.38999938964844,167.97999572753906,181.2100067138672,215.4900054931641,168.28990173339844,181.4698944091797,214.30999755859372,167.9499969482422,180.77999877929688,214.38999938964844,168.1999969482422,181.1649932861328,3428622,29312.0,1045031
2024-06-17 10:10:00-04:00,215.8950042724609,168.2050018310547,181.18960571289065,215.8950042724609,168.2050018310547,181.18960571289065,216.08999633789065,168.22999572753906,181.4900054931641,215.3699951171875,167.94000244140625,180.67999267578125,215.38999938964844,167.97000122070312,181.19000244140625,2222478,19833.0,1102750
2024-06-17 10:15:00-04:00,215.52670288085935,168.0500030517578,181.6300048828125,215.52670288085935,168.0500030517578,181.6300048828125,215.9499969482422,168.27999877929688,181.7400054931641,215.1999969482422,168.02000427246094,181.0399932861328,215.90499877929688,168.24000549316406,181.16000366210935,1489439,22903.0,1471535
2024-06-17 10:20:00-04:00,215.9850006103516,168.0800018310547,182.0500030517578,215.9850006103516,168.0800018310547,182.0500030517578,216.1499938964844,168.27999877929688,182.2899932861328,215.3800048828125,167.9600067138672,181.6300048828125,215.5200042724609,168.07000732421875,181.63999938964844,1075378,35984.0,1852508
2024-06-17 10:25:00-04:00,216.0914001464844,167.9499969482422,181.9671936035156,216.0914001464844,167.9499969482422,181.9671936035156,216.4900054931641,168.1699981689453,182.2400054931641,215.97000122070312,167.89999389648438,181.5500030517578,215.9980010986328,168.11000061035156,182.0399932861328,1550931,17791.0,1150866
2024-06-17 10:30:00-04:00,216.08999633789065,168.10000610351562,183.4149932861328,216.08999633789065,168.10000610351562,183.4149932861328,216.3999938964844,168.17999267578125,183.5498962402344,215.8300018310547,167.90499877929688,181.91000366210935,216.08999633789065,167.9770050048828,181.97000122070312,1095022,21726.0,2391977
2024-06-17 10:35:00-04:00,216.13999938964844,167.88999938964844,184.98159790039065,216.13999938964844,167.88999938964844,184.98159790039065,216.27999877929688,168.14999389648438,185.16000366210935,215.7400054931641,167.88999938964844,183.2100067138672,216.0901031494141,168.08999633789062,183.4149932861328,1035555,18552.0,3307915
2024-06-17 10:40:00-04:00,215.56640625,167.93499755859375,185.1100006103516,215.56640625,167.93499755859375,185.1100006103516,216.1479949951172,168.02999877929688,185.18899536132807,215.3300018310547,167.8699951171875,184.3699951171875,216.13999938964844,167.89500427246094,184.9783935546875,906463,27200.0,2800490
2024-06-17 10:45:00-04:00,215.80999755859372,168.02000427246094,184.0399932861328,215.80999755859372,168.02000427246094,184.0399932861328,215.9900054931641,168.10000610351562,185.3500061035156,215.50999450683597,167.91000366210938,184.02999877929688,215.568603515625,167.93499755859375,185.1199951171875,885384,32924.0,2166489
2024-06-17 10:50:00-04:00,216.1000061035156,168.35499572753906,184.7400054931641,216.1000061035156,168.35499572753906,184.7400054931641,216.1199951171875,168.36000061035156,184.88999938964844,215.8000030517578,167.99000549316406,183.8300018310547,215.8000030517578,168.01499938964844,184.01010131835935,736621,25481.0,1981786
2024-06-17 10:55:00-04:00,216.8800048828125,168.4199981689453,185.83999633789065,216.8800048828125,168.4199981689453,185.83999633789065,217.01010131835935,168.4199981689453,185.90989685058597,216.07000732421875,168.2949981689453,184.50999450683597,216.1100006103516,168.3699951171875,184.72999572753903,1698503,34067.0,1893136
2024-06-17 11:00:00-04:00,216.75999450683597,168.53500366210938,186.3583068847656,216.75999450683597,168.53500366210938,186.3583068847656,217.17999267578125,168.53500366210938,186.5489959716797,216.5113983154297,168.39999389648438,185.79010009765625,216.8800048828125,168.4499969482422,185.8459014892578,1274213,12922.0,2395369
2024-06-17 11:05:00-04:00,216.88999938964844,168.3300018310547,186.08999633789065,216.88999938964844,168.3300018310547,186.08999633789065,217.3300018310547,168.57000732421875,186.6300048828125,216.69000244140625,168.3000030517578,185.88999938964844,216.75999450683597,168.52999877929688,186.36019897460935,1153233,34637.0,1727659
